doy	hr	Tair	SWD	PAR	lai	Ea	Windsp m/s	precip	co2	Atm P	SoilT_2cm	SWC_2cm	flag	delta-13c	 delta-18o
3	8.5	7.05	112	192	1	0.4171	5.55	0	386.51119	788.45	0.55	0.12	0	-8.04	41.65
3	9.5	6.95	169.5	358.5	1	0.4351	7.4	0	384.99307	789	1.8	0.12	0	-7.96	41.66
3	10.5	9.2	360	884.5	1	0.4297	6.65	0	384.33854	789.2	2.4	0.12	0	-7.92	41.65
3	11.5	10.2	496	1009	1	0.3908	6.35	0	383.68336	788.8	5.1	0.12	0	-7.89	41.65
3	12.5	10.8	529	1066.5	1	0.3462	6.65	0	383.21634	788.05	6.5	0.12	0	-7.86	41.64
3	13.5	10.9	544.5	1034	1	0.3094	6.6	0	382.9118	788.2	8.15	0.12	0	-7.86	41.62
3	14.5	10.4	478	809.5	1	0.3069	5.75	0	382.6493	788.1	8.1	0.12	0	-7.84	41.63
3	15.5	9.75	323	511	1	0.2783	6	0	382.61084	788.7	7.1	0.12	0	-7.85	41.61
3	16.5	7.8	139.5	153	1	0.2404	3.25	0	382.81924	789.35	5.25	0.12	0	-7.86	41.62
3	17.5	4.8	7.5	4.5	1	0.2247	3.45	0	384.655	790.15	3.5	0.12	0	-7.88	41.63
3	18.5	1.45	0	0	1	0.2364	2.25	0	386.03	791.05	2.2	0.12	0	-7.93	41.65
3	19.5	0.25	0	0	1	0.2653	2.55	0	384.125	791.75	0.9	0.12	0	-8.01	41.63
3	20.5	1	0	0	1	0.275	2.65	0	384.4	792	0.4	0.12	0	-8.05	41.58
3	21.5	0.25	0	0	1	0.2826	1.65	0	384.21	792.5	0	0.12	0	-8.07	41.54
3	22.5	-2	0	0	1	0.2863	1.35	0	387.035	793.4	-0.4	0.12	0	-8.08	41.51
3	23.5	-2.4	0	0	1	0.2959	1.55	0	386.77	794.15	-0.8	0.12	0	-8.09	41.5
4	0.5	-2.25	0	0	1	0.2966	1.9	0	386.81	794.45	-1.3	0.12	0	-8.11	41.48
4	1.5	-3.05	0	0	1	0.2919	1.55	0	386.765	794.5	-1.6	0.12	0	-8.12	41.47
4	2.5	-4.2	0	0	1	0.2966	2.1	0	387.13	794.8	-2	0.12	0	-8.13	41.47
4	3.5	-4.2	0	0	1	0.3116	2.8	0	389.435	794.65	-2.4	0.12	0	-8.15	41.47
4	4.5	-3.75	0	0	1	0.302	2.7	0	397.36	794.4	-2.65	0.11	0	-8.16	41.44
4	5.5	-3.9	0	0	1	0.3018	2.5	0	395.335	794.2	-3	0.11	0	-8.18	41.45
4	6.5	-4	0	0	1	0.3034	1.7	0	389.785	794.35	-3.1	0.11	0	-8.17	41.54
4	7.5	-3.8	5	38	1	0.3152	0.6	0	394.245	794.55	-3.25	0.11	0	-8.12	41.61
4	8.5	1.65	129	308.5	1	0.3334	0.9	0	393.975	794.75	-3.3	0.11	0	-8.04	41.65
4	9.5	5.55	301.5	633	1	0.3385	1.1	0	386.41	795.3	-2.3	0.11	0	-7.96	41.65
4	10.5	5.85	465.5	892.5	1	0.3428	1.3	0	386.82	795.2	-0.05	0.11	0	-7.93	41.64
4	11.5	6.7	539	1041	1	0.3283	1.55	0	384.35	794.85	4.1	0.11	0	-7.89	41.63
4	12.5	6.85	602.5	1101.5	1	0.3383	2.25	0	384.525	794.1	5.75	0.11	0	-7.86	41.6
4	13.5	7.1	569	1015	1	0.3254	2.15	0	383.41	793.6	6.6	0.12	0	-7.86	41.58
4	14.5	7.8	476.5	815	1	0.2997	2.4	0	383.06	793.2	7	0.12	0	-7.85	41.57
4	15.5	8.05	325	518.5	1	0.2978	1.75	0	382.74	793.3	5.8	0.12	0	-7.85	41.56
4	16.5	6.4	139.5	155.5	1	0.2894	1.45	0	382.975	793.4	4.25	0.12	0	-7.86	41.57
4	17.5	3.25	8	5.5	1	0.2745	1.45	0	385.005	793.6	2.4	0.12	0	-7.88	41.57
4	18.5	2.85	0	0	1	0.258	0.7	0	387.05	793.9	1	0.12	0	-7.93	41.58
4	19.5	-0.05	0	0	1	0.2524	1.1	0	386.025	794.6	0.4	0.12	0	-8.01	41.57
4	20.5	-1.45	0	0	1	0.2531	1.15	0	384.93	795.55	-0.3	0.12	0	-8.05	41.54
4	21.5	-2.2	0	0	1	0.2635	1.95	0	386.165	796.05	-0.8	0.12	0	-8.07	41.52
4	22.5	-1.9	0	0	1	0.2652	3.9	0	390.215	796.7	-1.3	0.115	0	-8.08	41.48
4	23.5	-0.3	0	0	1	0.2811	3.8	0	386.15	796.75	-1.65	0.11	0	-8.1	41.47
5	0.5	0.35	0	0	1	0.2899	2.75	0	385.28	796.95	-1.7	0.11	0	-8.11	41.46
5	1.5	0.85	0	0	1	0.2929	2.4	0	385.06	797.45	-1.7	0.11	0	-8.13	41.45
5	2.5	0.2	0	0	1	0.2932	0.95	0	384.89	798.15	-1.55	0.11	0	-8.14	41.44
5	3.5	-1.45	0	0	1	0.283	2.35	0	384.625	798.65	-1.8	0.11	0	-8.16	41.43
5	4.5	-3.65	0	0	1	0.2807	2.4	0	388.275	798.75	-2.2	0.11	0	-8.17	41.39
5	5.5	-3.45	0	0	1	0.2876	1.55	0	388.02	798.85	-2.65	0.11	0	-8.18	41.41
5	6.5	-3.2	0	0	1	0.2764	3.05	0	386.185	799.55	-3.05	0.11	0	-8.17	41.46
5	7.5	-3.15	6	38	1	0.2732	4.1	0	384.84	800.3	-3.25	0.11	0	-8.13	41.54
5	8.5	0.75	131	315.5	1	0.2752	3.2	0	385.71	801.15	-3.2	0.11	0	-8.05	41.59
5	9.5	3.8	317	649.5	1	0.2599	4.8	0	383.765	801.5	-2.3	0.11	0	-7.97	41.6
5	10.5	5.7	469	915	1	0.2486	4.2	0	382.52	801.3	1.15	0.11	0	-7.93	41.59
5	11.5	6.6	568.5	1074.5	1	0.2266	4.7	0	382.835	800.5	4.15	0.11	0	-7.89	41.58
5	12.5	7.75	608.5	1114.5	1	0.2011	3.85	0	382.455	799.7	5.75	0.11	0	-7.87	41.56
5	13.5	8.25	581.5	1031	1	0.1975	2.7	0	381.835	799	6.75	0.11	0	-7.86	41.54
5	14.5	8.45	486.5	830	1	0.2073	1.8	0	382.535	798.4	6.7	0.115	0	-7.85	41.53
5	15.5	8.4	331	533	1	0.2587	1.65	0	382.81	798.4	5.7	0.12	0	-7.86	41.51
5	16.5	5.9	143	161.5	1	0.2769	2.95	0	383.55	798.65	4.05	0.12	0	-7.87	41.53
5	17.5	1.85	8.5	6	1	0.2672	2.5	0	385.565	798.85	2.8	0.12	0	-7.89	41.52
5	18.5	0	0	0	1	0.2692	2.95	0	386.45	799.1	1	0.12	0	-7.94	41.53
5	19.5	0.4	0	0	1	0.2671	2.75	0	386.165	799.25	0.1	0.12	0	-8.02	41.52
5	20.5	-0.7	0	0	1	0.259	2.2	0	388.5	799.2	-0.5	0.11	0	-8.06	41.48
5	21.5	-0.4	0	0	1	0.2567	2.55	0	397.77	799.4	-0.8	0.11	0	-8.08	41.44
5	22.5	-1.05	0	0	1	0.2493	1	0	393.665	799.85	-1.2	0.11	0	-8.09	41.43
5	23.5	-1.6	0	0	1	0.252	1.8	0	388.365	799.9	-1.6	0.11	0	-8.1	41.43
6	0.5	-0.3	0	0	1	0.2561	2.75	0	386.21	799.85	-2	0.11	0	-8.12	41.41
6	1.5	-1.3	0	0	1	0.2549	3.15	0	386.505	799.8	-2.1	0.11	0	-8.13	41.4
6	2.5	-3.3	0	0	1	0.2578	1.15	0	390.065	799.6	-2.35	0.11	0	-8.14	41.41
6	3.5	-3.55	0	0	1	0.2541	2.45	0	387.335	799.35	-2.65	0.11	0	-8.17	41.42
6	4.5	-3.4	0	0	1	0.2545	2.05	0	390.55	799.15	-2.95	0.11	0	-8.17	41.38
6	5.5	-2.85	0	0	1	0.2493	1.1	0	386.715	798.75	-3.15	0.11	0	-8.19	41.4
6	6.5	-3.5	0	0	1	0.2458	2	0	388.07	799.15	-3.3	0.11	0	-8.18	41.46
6	7.5	-4.6	5	29	1	0.2484	0.9	0	390.22	799.15	-3.45	0.11	0	-8.13	41.53
6	8.5	0.05	85	295	1	0.255	2.25	0	389.3	799.5	-3.55	0.11	0	-8.05	41.56
6	9.5	5.75	323	660.5	1	0.2578	2.1	0	385.595	799.4	-2.55	0.11	0	-7.98	41.56
6	10.5	8.1	468	923	1	0.2716	2.05	0	385.035	799	1.35	0.11	0	-7.94	41.57
6	11.5	9.55	576	1116	1	0.2626	2.75	0	384.91	798.15	4.6	0.11	0	-7.9	41.55
6	12.5	10.8	625	1089	1	0.2558	3.25	0	384.65	796.9	6.5	0.11	0	-7.88	41.53
6	13.5	13.05	587	1019	1	0.2524	1.5	0	383.745	795.75	7.5	0.11	0	-7.87	41.52
6	14.5	12.4	493.5	914	1	0.2348	1.4	0	383.195	795.05	7.85	0.12	0	-7.86	41.5
6	15.5	12.9	343	639	1	0.2477	1.5	0	383.4	794.7	7.4	0.12	0	-7.87	41.48
6	16.5	12	161.5	307.5	1	0.2639	3.35	0	383.83	794.5	5.9	0.12	0	-7.88	41.48
6	17.5	8.4	14.5	39	1	0.3008	2.35	0	385.02	794.55	4.1	0.12	0	-7.9	41.49
6	18.5	5.1	0	12	1	0.3259	3.4	0	386.465	794.55	2.2	0.12	0	-7.94	41.49
6	19.5	2.75	0	12	1	0.299	2.95	0	387.37	794.65	1.35	0.12	0	-8.03	41.49
6	20.5	2.25	0	12	1	0.3264	2.4	0	395.085	794.5	0.6	0.12	0	-8.07	41.44
6	21.5	1.15	0	12	1	0.332	1	0	394.905	794.5	0.05	0.12	0	-8.09	41.42
6	22.5	-0.45	0	12	1	0.33	1.4	0	392.08	794.35	-0.4	0.12	0	-8.09	41.4
6	23.5	-1.5	0	12	1	0.351	1.7	0	388.325	793.95	-0.8	0.12	0	-8.11	41.4
7	0.5	-1.95	0	12	1	0.3581	1.6	0	388.68	793.3	-1.2	0.12	0	-8.13	41.39
7	1.5	-2.25	0	12	1	0.3566	1.4	0	387.17	792.8	-1.6	0.12	0	-8.14	41.4
7	2.5	-3.65	0	12	1	0.3355	2.1	0	387.605	792.5	-1.85	0.12	0	-8.15	41.4
7	3.5	-4.25	0	12	1	0.3202	1.25	0	386.46	792.15	-2.2	0.12	0	-8.17	41.4
7	4.5	-4.85	0	12	1	0.3303	2	0	390.07	791.6	-2.55	0.12	0	-8.18	41.36
